Citra,energy_0,homogenity_0,entrophy_0,contrast_0,energy_45,homogenity_45,entrophy_45,contrast_45,energy_90,homogenity_90,entrophy_90,contrast_90,energy_135,homogenity_135,entrophy_135,contrast_135,Label
70.png,0.0020953839844865953,16.07973227059059,6.9102408176013705,15.079732270590618,0.001419439338164563,32.41710516351793,7.299619579083199,31.41710516351797,0.001821471768479833,17.692199059881567,7.036539704778085,16.69219905988141,0.001453873924215211,29.29739808146123,7.271374888692019,28.297398081461196,0
71.png,0.0017302164856437825,17.47520743919893,6.925738417649176,16.475207439198822,0.001248501562028547,39.515506517587674,7.261113691048679,38.515506517587795,0.0015937506288779665,23.083073778867774,7.013311390699661,22.08307377886789,0.0011553630720586615,34.37329641159144,7.300236748625937,33.37329641159157,0
72.png,0.0012564696731597635,11.657416717760013,7.139079214136847,10.657416717760132,0.0008557826182702836,32.89478122230665,7.549074684438311,31.89478122230632,0.0010949900505187206,21.341547108113605,7.315216362207717,20.34154710811352,0.0008797408222930085,28.265920454522703,7.536972870068108,27.265920454522263,0
73.png,0.0019907352286823447,14.000768444716922,6.848431780417326,13.000768444717,0.0015247556255916584,24.166943989062755,7.100914888335887,23.16694398906277,0.001963623682509876,17.072595544655837,6.866414438675388,16.072595544655584,0.0014184571592197467,31.159385674609858,7.202891020151711,30.15938567460997,0
74.png,0.001171986887677578,21.321451052523937,7.247867260787022,20.321451052524026,0.0008891224132433009,40.613455559853804,7.565387226446466,39.613455559853456,0.0012254924294682718,16.15068056407113,7.2364726156835175,15.150680564071067,0.0008430578556751438,28.888618729802207,7.580912407884589,27.888618729802236,0
75.png,0.0012580701005189877,27.232033517269414,7.358921904876436,26.23203351726939,0.0008979144031907138,60.64380957059038,7.723388243719602,59.643809570590065,0.0012370023781768612,29.40908849376661,7.386236604252399,28.40908849376639,0.0009357406631881618,44.3671011725312,7.660238268225229,43.36710117253201,0
76.png,0.0009098810184798268,36.93437768240348,7.529743241275762,35.93437768240285,0.0007181973920524178,58.9054361329592,7.76736414373589,57.905436132959174,0.0009799734072069473,25.193055385244058,7.443446574435353,24.19305538524398,0.000673879271309285,55.152099565903335,7.829130049022654,54.15209956590303,0
77.png,0.0023793755131530413,11.96585939096665,6.7505483286652375,10.965859390966695,0.0017942672513338667,18.99777937417238,7.010211328072066,17.997779374172488,0.002373783184551732,13.627839771101527,6.753546148802912,12.627839771101568,0.001725405795031884,26.985401176010765,7.094107219672857,25.985401176010875,0
78.png,0.0017111887797601495,16.990490496627967,6.931197988714658,15.9904904966277,0.0012256782695643168,42.5078970366411,7.284903006295004,41.507897036640976,0.0015617101893039048,26.29917433067626,7.045579620870945,25.299174330676536,0.0011508315605056082,36.62638430948716,7.317664053238952,35.62638430948767,0
79.png,0.002048968113834874,21.589789495197287,7.047911633262183,20.58978949519719,0.0014376536280717794,40.03282842237263,7.42229876755779,39.032828422373484,0.0018662956364921463,19.82181075005119,7.1267087094716555,18.82181075005098,0.001458776602576568,35.76930460641667,7.373076226103025,34.7693046064173,0
8.png,0.0011265564648990244,16.83517065195179,7.289269645341621,15.835170651951588,0.0008395920145499888,25.449190648402602,7.5861411057723815,24.449190648402322,0.001092973096574073,16.135826691191497,7.321279842033451,15.135826691191387,0.0007960128323879356,35.06227780950096,7.64251170177437,34.06227780950131,0
