Citra,energy_0,homogenity_0,entrophy_0,contrast_0,energy_45,homogenity_45,entrophy_45,contrast_45,energy_90,homogenity_90,entrophy_90,contrast_90,energy_135,homogenity_135,entrophy_135,contrast_135,Label,Warna_R,Warna_G,Warna_B
450.png,0.0042671195047551,3.969016963008358,6.201756297266362,2.9690169630083902,0.0026738703725799,14.232518967419304,6.72375749451451,13.23251896741933,0.0032766563899287,11.955428162681278,6.560403157196831,10.955428162681365,0.0025789366963429,14.894314583883396,6.759145005862816,13.894314583883483,0,0.060413360595703125,0.9383735656738281,0.0
451.png,0.0047211701075403,4.074289801757594,6.150710424862577,3.0742898017576024,0.0030511211137528,17.143186362696817,6.662496601431964,16.143186362696852,0.0037601226579896,14.14509094624975,6.487110168589862,13.145090946249727,0.0028347642556699,16.56951582170324,6.721302332157739,15.569515821703332,0,0.22067642211914062,0.776947021484375,0.0
452.png,0.002948924641111,7.283866748416085,6.473410209512653,6.283866748416118,0.0021857427282692,9.152238738766416,6.700242435831694,8.15223873876639,0.0034449509530522,5.096241569589209,6.22739306860104,4.096241569589204,0.0023086350892006,12.75647818977043,6.702305232559572,11.75647818977047,0,0.06654739379882812,0.9284133911132812,0.0
453.png,0.0030100738430661,6.819740445534385,6.44046958471465,5.819740445534399,0.0021993174267896,10.392090888066134,6.738088011301357,9.392090888066203,0.0032292690033089,4.394890660126707,6.33498456435259,3.394890660126713,0.0022520857991995,9.385070845127249,6.681156046688769,8.385070845127256,0,0.3119316101074219,0.6871566772460938,3.814697265625e-06
454.png,0.0059972405325175,2.929897813202526,5.767419360382106,1.9298978132025264,0.0042186490879983,4.09870425971293,6.0642232869879455,3.098704259712916,0.0052678755137168,3.679797670140999,5.861722430182028,2.679797670141015,0.0038239629945044,6.546192087204085,6.203542053079292,5.546192087204109,0,0.106231689453125,0.8929672241210938,0.0
455.png,0.0061441710002598,4.174872266503139,5.767143284157722,3.174872266503169,0.0047135684662124,5.209428552131515,5.980930252940291,4.209428552131489,0.0062429351017977,3.318197424892692,5.698794126562774,2.318197424892709,0.0043126905484944,7.200519442244277,6.105645440537315,6.2005194422443095,0,0.18448638916015625,0.8149185180664062,0.0
456.png,0.0039178777713079,4.2167095851215946,6.164495609224937,3.216709585121622,0.0030183954746229,5.752016471517679,6.424060571970771,4.752016471517658,0.0039081729994705,3.7779419578990208,6.154669707315797,2.777941957899043,0.0027299682631885,7.655786623441219,6.494946972756606,6.65578662344126,0,0.15418624877929688,0.8447723388671875,0.0
457.png,0.0041947423900701,4.375863478438583,6.0151624784477375,3.375863478438575,0.0031150651177391,5.961897335453698,6.299991728490447,4.961897335453685,0.0044668715247769,2.9854567749846725,5.933252565947167,1.9854567749846683,0.0029771432279913,6.229391671322833,6.337167727948161,5.229391671322849,0,0.2339324951171875,0.7647666931152344,0.0
458.png,0.0041307433459855,4.550856325362748,6.105862662200978,3.5508563253627483,0.0027545844003716,10.149254708852444,6.508573216595615,9.149254708852558,0.0037249540159412,7.078914776210887,6.232480037694962,6.078914776210859,0.0027885262078097,10.496912613768709,6.501305664097661,9.496912613768792,0,0.11629486083984375,0.8809242248535156,1.9073486328125e-05
459.png,0.0027568817513928,7.534087471898592,6.55252160860017,6.5340874718986,0.0018853039169408,11.044913948190828,6.900703426288387,10.044913948190947,0.0029141034362624,3.933809523809508,6.432938027728552,2.9338095238095208,0.0021590108179654,9.271988800677848,6.740582151282417,8.271988800677907,0,0.014453887939453125,0.9846572875976562,0.0
460.png,0.0022179626345925,5.909176374412395,6.662949695338249,4.909176374412398,0.0014254698447963,13.608572229692482,7.111444599632345,12.608572229692603,0.0022675069625068,5.119360310647868,6.598664374821214,4.119360310647862,0.0018626106725564,5.786924300195921,6.757169219786217,4.786924300195892,0,0.02013397216796875,0.9788627624511719,0.0
461.png,0.0025136268506556,7.678193337420763,6.729868453939155,6.678193337420774,0.0015505713538431,17.230963506010077,7.19673309308786,16.230963506010106,0.0024013478820769,6.719121193541787,6.684636790583273,5.719121193541775,0.0020241115088202,8.850194739675127,6.861614180083128,7.850194739675188,0,0.087127685546875,0.9118690490722656,1.9073486328125e-05
462.png,0.001922339852947,6.79146740241156,6.755651768754217,5.79146740241163,0.0013959749976577,11.79301925292826,7.088517424631943,10.793019252928358,0.0016953557489356,9.078023707336929,6.8859310264937,8.07802370733703,0.0012597167339346,16.686689138990687,7.198006231407223,15.686689138990957,0,0.2032012939453125,0.7945556640625,0.0
463.png,0.0015064598053359,7.486564479869166,7.005564272728014,6.486564479869157,0.0010467444853601,15.789597237828175,7.383666421679384,14.789597237828245,0.0013880228030475,11.929797670141037,7.117302337451908,10.929797670141031,0.0010667908775709,19.85799046665892,7.377189590215793,18.85799046665912,0,0.15936279296875,0.8384819030761719,0.0
464.png,0.0010881287928729,12.818518291436572,7.362399239195482,11.818518291436732,0.0007515647452468,35.83919599018437,7.751025526979194,34.839195990184685,0.0009981609717941,22.44103821786229,7.481666164186983,21.441038217862115,0.0007539274407005,30.36303241295092,7.744177414105802,29.36303241295059,0,0.1141815185546875,0.8844757080078125,0.0
465.png,0.0012190237524888,14.328781933374133,7.194829805164853,13.328781933374216,0.0008112802943379,26.740082398521505,7.570080815797467,25.740082398521626,0.0011482897630799,17.194913141222184,7.258711828017826,16.194913141222077,0.0009077798086869,30.609706079193742,7.50779176551879,29.60970607919352,0,0.07106399536132812,0.9279670715332031,0.0
466.png,0.0012932140698752,16.9381953811568,7.241598711892518,15.938195381156657,0.0008413681375148,41.59336554775757,7.65538619327568,40.59336554775773,0.0011931478687861,24.73745759247904,7.328657659515666,23.737457592479107,0.0009774682943732,36.29058270449712,7.551938050870348,35.29058270449692,0,0.10801315307617188,0.8910026550292969,0.0
467.png,0.001446883120984,13.264982628244326,7.004021939353472,12.26498262824441,0.0009698131679726,21.8691631822286,7.365692453685442,20.869163182228384,0.0012197069191593,12.4429041487839,7.167143600528776,11.442904148783972,0.0009290635143498,25.468218444088485,7.442988486083581,24.468218444088464,0,0.19619369506835938,0.7999038696289062,0.0
468.png,0.0016207405784002,10.42581238503974,6.88538243680585,9.425812385039851,0.00104105840204,20.594161698400114,7.295801978815467,19.594161698400075,0.0014915968369332,12.55003678724696,6.972961967957537,11.550036787247103,0.0012153406399762,20.84433924613352,7.191563279318341,19.844339246133483,0,0.00528717041015625,0.9937400817871094,0.0
